"X","CodIstat","Comune","Anno","Total","Male","Female"
134,58013,"Bracciano",2005,15509,7570,7939
135,58013,"Bracciano",2006,16039,7807,8232
136,58013,"Bracciano",2007,16635,8118,8517
137,58013,"Bracciano",2008,17474,8497,8977
138,58013,"Bracciano",2009,18159,8806,9353
139,58013,"Bracciano",2010,18594,9009,9585
140,58013,"Bracciano",2011,18889,9112,9777
141,58014,"Camerata Nuova",2002,481,239,242
142,58014,"Camerata Nuova",2003,493,246,247
143,58014,"Camerata Nuova",2004,481,239,242
144,58014,"Camerata Nuova",2005,483,242,241
145,58014,"Camerata Nuova",2006,485,249,236
146,58014,"Camerata Nuova",2007,479,246,233
147,58014,"Camerata Nuova",2008,482,248,234
148,58014,"Camerata Nuova",2009,476,246,230
149,58014,"Camerata Nuova",2010,480,245,235
150,58014,"Camerata Nuova",2011,485,247,238
151,58015,"Campagnano di Roma",2002,8846,4207,4639
152,58015,"Campagnano di Roma",2003,8994,4294,4700
153,58015,"Campagnano di Roma",2004,9387,4485,4902
154,58015,"Campagnano di Roma",2005,9639,4632,5007
155,58015,"Campagnano di Roma",2006,9855,4734,5121
156,58015,"Campagnano di Roma",2007,10038,4810,5228
157,58015,"Campagnano di Roma",2008,10301,4938,5363
158,58015,"Campagnano di Roma",2009,10715,5118,5597
159,58015,"Campagnano di Roma",2010,11023,5249,5774
160,58015,"Campagnano di Roma",2011,11166,5324,5842
161,58016,"Canale Monterano",2002,3331,1624,1707
162,58016,"Canale Monterano",2003,3353,1641,1712
163,58016,"Canale Monterano",2004,3406,1666,1740
164,58016,"Canale Monterano",2005,3470,1700,1770
165,58016,"Canale Monterano",2006,3548,1734,1814
166,58016,"Canale Monterano",2007,3595,1764,1831
167,58016,"Canale Monterano",2008,3701,1809,1892
168,58016,"Canale Monterano",2009,3805,1852,1953
169,58016,"Canale Monterano",2010,3908,1893,2015
170,58016,"Canale Monterano",2011,3966,1903,2063
171,58017,"Canterano",2002,371,181,190
172,58017,"Canterano",2003,364,178,186
173,58017,"Canterano",2004,361,173,188
174,58017,"Canterano",2005,363,175,188
175,58017,"Canterano",2006,363,175,188
176,58017,"Canterano",2007,368,180,188
177,58017,"Canterano",2008,353,178,175
178,58017,"Canterano",2009,355,181,174
179,58017,"Canterano",2010,364,186,178
180,58017,"Canterano",2011,369,188,181
181,58018,"Capena",2002,5839,2875,2964
182,58018,"Capena",2003,6019,2974,3045
183,58018,"Capena",2004,6404,3159,3245
184,58018,"Capena",2005,6706,3345,3361
185,58018,"Capena",2006,7106,3547,3559
186,58018,"Capena",2007,7668,3844,3824
187,58018,"Capena",2008,8207,4113,4094
188,58018,"Capena",2009,8867,4459,4408
189,58018,"Capena",2010,9336,4690,4646
190,58018,"Capena",2011,9709,4891,4818
191,58019,"Capranica Prenestina",2002,329,159,170
192,58019,"Capranica Prenestina",2003,325,164,161
193,58019,"Capranica Prenestina",2004,325,166,159
194,58019,"Capranica Prenestina",2005,328,167,161
195,58019,"Capranica Prenestina",2006,337,172,165
196,58019,"Capranica Prenestina",2007,343,176,167
197,58019,"Capranica Prenestina",2008,347,183,164
198,58019,"Capranica Prenestina",2009,386,199,187
199,58019,"Capranica Prenestina",2010,392,202,190
200,58019,"Capranica Prenestina",2011,375,194,181
201,58020,"Carpineto Romano",2002,4921,2404,2517
