"X","CodIstat","Comune","Anno","Total","Male","Female"
573,58052,"Magliano Romano",2004,1308,657,651
574,58052,"Magliano Romano",2005,1321,664,657
575,58052,"Magliano Romano",2006,1422,707,715
576,58052,"Magliano Romano",2007,1441,727,714
577,58052,"Magliano Romano",2008,1490,743,747
578,58052,"Magliano Romano",2009,1518,767,751
579,58052,"Magliano Romano",2010,1530,773,757
580,58052,"Magliano Romano",2011,1519,762,757
581,58053,"Mandela",2002,770,386,384
582,58053,"Mandela",2003,797,400,397
583,58053,"Mandela",2004,791,394,397
584,58053,"Mandela",2005,826,421,405
585,58053,"Mandela",2006,833,431,402
586,58053,"Mandela",2007,855,445,410
587,58053,"Mandela",2008,900,467,433
588,58053,"Mandela",2009,933,481,452
589,58053,"Mandela",2010,938,485,453
590,58053,"Mandela",2011,947,488,459
591,58054,"Manziana",2002,5855,2796,3059
592,58054,"Manziana",2003,5995,2850,3145
593,58054,"Manziana",2004,6092,2867,3225
594,58054,"Manziana",2005,6148,2906,3242
595,58054,"Manziana",2006,6249,2967,3282
596,58054,"Manziana",2007,6276,2986,3290
597,58054,"Manziana",2008,6398,3042,3356
598,58054,"Manziana",2009,6649,3143,3506
599,58054,"Manziana",2010,6775,3203,3572
600,58054,"Manziana",2011,6951,3284,3667
601,58055,"Marano Equo",2002,770,396,374
602,58055,"Marano Equo",2003,777,400,377
603,58055,"Marano Equo",2004,795,412,383
604,58055,"Marano Equo",2005,795,410,385
605,58055,"Marano Equo",2006,804,414,390
606,58055,"Marano Equo",2007,810,414,396
607,58055,"Marano Equo",2008,795,410,385
608,58055,"Marano Equo",2009,811,421,390
609,58055,"Marano Equo",2010,836,429,407
610,58055,"Marano Equo",2011,825,426,399
611,58056,"Marcellina",2002,5514,2716,2798
612,58056,"Marcellina",2003,5546,2730,2816
613,58056,"Marcellina",2004,5698,2826,2872
614,58056,"Marcellina",2005,5913,2961,2952
615,58056,"Marcellina",2006,6038,3016,3022
616,58056,"Marcellina",2007,6128,3053,3075
617,58056,"Marcellina",2008,6643,3318,3325
618,58056,"Marcellina",2009,6894,3462,3432
619,58056,"Marcellina",2010,7023,3522,3501
620,58056,"Marcellina",2011,7101,3547,3554
621,58057,"Marino",2002,32823,15865,16958
622,58057,"Marino",2003,36035,17460,18575
623,58057,"Marino",2004,36708,17813,18895
624,58057,"Marino",2005,37023,17937,19086
625,58057,"Marino",2006,37575,18169,19406
626,58057,"Marino",2007,37684,18172,19512
627,58057,"Marino",2008,38225,18419,19806
628,58057,"Marino",2009,38769,18679,20090
629,58057,"Marino",2010,39199,18852,20347
630,58057,"Marino",2011,39976,19286,20690
631,58058,"Mazzano Romano",2002,2535,1265,1270
632,58058,"Mazzano Romano",2003,2533,1265,1268
633,58058,"Mazzano Romano",2004,2584,1295,1289
634,58058,"Mazzano Romano",2005,2621,1325,1296
635,58058,"Mazzano Romano",2006,2638,1337,1301
636,58058,"Mazzano Romano",2007,2658,1355,1303
637,58058,"Mazzano Romano",2008,2740,1396,1344
638,58058,"Mazzano Romano",2009,2853,1445,1408
639,58058,"Mazzano Romano",2010,2993,1515,1478
640,58058,"Mazzano Romano",2011,3064,1543,1521
641,58059,"Mentana",2002,16507,8186,8321
642,58059,"Mentana",2003,16967,8422,8545
643,58059,"Mentana",2004,17969,8943,9026
644,58059,"Mentana",2005,18364,9118,9246
645,58059,"Mentana",2006,18879,9368,9511
646,58059,"Mentana",2007,19245,9537,9708
647,58059,"Mentana",2008,19874,9831,10043
648,58059,"Mentana",2009,20550,10125,10425
649,58059,"Mentana",2010,20973,10355,10618
650,58059,"Mentana",2011,21602,10641,10961
651,58064,"Monte Porzio Catone",2002,8243,4000,4243
652,58064,"Monte Porzio Catone",2003,8311,4059,4252
653,58064,"Monte Porzio Catone",2004,8372,4081,4291
654,58064,"Monte Porzio Catone",2005,8546,4157,4389
655,58064,"Monte Porzio Catone",2006,8607,4196,4411
656,58064,"Monte Porzio Catone",2007,8700,4244,4456
657,58064,"Monte Porzio Catone",2008,8737,4274,4463
658,58064,"Monte Porzio Catone",2009,8921,4356,4565
659,58064,"Monte Porzio Catone",2010,8934,4335,4599
660,58064,"Monte Porzio Catone",2011,8989,4337,4652
661,58060,"Montecompatri",2002,8124,3985,4139
662,58060,"Montecompatri",2003,8428,4148,4280
663,58060,"Montecompatri",2004,8785,4339,4446
664,58060,"Montecompatri",2005,8971,4440,4531
665,58060,"Montecompatri",2006,9146,4505,4641
666,58060,"Montecompatri",2007,9324,4612,4712
667,58060,"Montecompatri",2008,9662,4791,4871
668,58060,"Montecompatri",2009,10174,5072,5102
669,58060,"Montecompatri",2010,10424,5178,5246
670,58060,"Montecompatri",2011,10716,5328,5388
671,58061,"Monteflavio",2002,1369,653,716
672,58061,"Monteflavio",2003,1363,650,713
673,58061,"Monteflavio",2004,1393,666,727
674,58061,"Monteflavio",2005,1400,675,725
675,58061,"Monteflavio",2006,1381,665,716
676,58061,"Monteflavio",2007,1387,668,719
677,58061,"Monteflavio",2008,1401,669,732
678,58061,"Monteflavio",2009,1411,670,741
679,58061,"Monteflavio",2010,1433,681,752
680,58061,"Monteflavio",2011,1420,673,747
681,58062,"Montelanico",2002,1916,926,990
682,58062,"Montelanico",2003,1936,936,1000
683,58062,"Montelanico",2004,1961,953,1008
684,58062,"Montelanico",2005,1957,935,1022
685,58062,"Montelanico",2006,1972,943,1029
686,58062,"Montelanico",2007,1989,957,1032
687,58062,"Montelanico",2008,2022,969,1053
688,58062,"Montelanico",2009,2064,995,1069
689,58062,"Montelanico",2010,2103,1014,1089
690,58062,"Montelanico",2011,2156,1042,1114
691,58063,"Montelibretti",2002,4828,2315,2513
692,58063,"Montelibretti",2003,4860,2325,2535
693,58063,"Montelibretti",2004,4871,2333,2538
694,58063,"Montelibretti",2005,4906,2337,2569
695,58063,"Montelibretti",2006,4952,2347,2605
696,58063,"Montelibretti",2007,4976,2356,2620
697,58063,"Montelibretti",2008,5011,2392,2619
698,58063,"Montelibretti",2009,5090,2449,2641
699,58063,"Montelibretti",2010,5142,2481,2661
700,58063,"Montelibretti",2011,5130,2471,2659
701,58065,"Monterotondo",2002,34374,16710,17664
702,58065,"Monterotondo",2003,34856,16955,17901
703,58065,"Monterotondo",2004,35379,17225,18154
704,58065,"Monterotondo",2005,36094,17551,18543
705,58065,"Monterotondo",2006,36751,17809,18942
706,58065,"Monterotondo",2007,37181,17994,19187
707,58065,"Monterotondo",2008,37359,18155,19204
708,58065,"Monterotondo",2009,38612,18789,19823
709,58065,"Monterotondo",2010,39092,19010,20082
710,58065,"Monterotondo",2011,39588,19235,20353
711,58066,"Montorio Romano",2002,1831,909,922
712,58066,"Montorio Romano",2003,1864,920,944
713,58066,"Montorio Romano",2004,1891,938,953
714,58066,"Montorio Romano",2005,1903,952,951
715,58066,"Montorio Romano",2006,1928,966,962
716,58066,"Montorio Romano",2007,1904,957,947
717,58066,"Montorio Romano",2008,1982,998,984
718,58066,"Montorio Romano",2009,1984,1000,984
719,58066,"Montorio Romano",2010,2014,1015,999
720,58066,"Montorio Romano",2011,2035,1027,1008
721,58067,"Moricone",2002,2360,1183,1177
722,58067,"Moricone",2003,2400,1200,1200
723,58067,"Moricone",2004,2434,1215,1219
724,58067,"Moricone",2005,2498,1242,1256
725,58067,"Moricone",2006,2518,1264,1254
726,58067,"Moricone",2007,2545,1269,1276
727,58067,"Moricone",2008,2600,1295,1305
728,58067,"Moricone",2009,2667,1338,1329
729,58067,"Moricone",2010,2693,1360,1333
730,58067,"Moricone",2011,2748,1379,1369
731,58068,"Morlupo",2002,6675,3214,3461
732,58068,"Morlupo",2003,6924,3351,3573
733,58068,"Morlupo",2004,7117,3455,3662
734,58068,"Morlupo",2005,7230,3508,3722
735,58068,"Morlupo",2006,7620,3703,3917
736,58068,"Morlupo",2007,7727,3750,3977
737,58068,"Morlupo",2008,8016,3906,4110
738,58068,"Morlupo",2009,8269,4005,4264
739,58068,"Morlupo",2010,8356,4074,4282
740,58068,"Morlupo",2011,8486,4121,4365
741,58069,"Nazzano",2002,1253,615,638
742,58069,"Nazzano",2003,1252,617,635
743,58069,"Nazzano",2004,1248,623,625
744,58069,"Nazzano",2005,1279,633,646
745,58069,"Nazzano",2006,1297,642,655
746,58069,"Nazzano",2007,1300,650,650
747,58069,"Nazzano",2008,1344,672,672
748,58069,"Nazzano",2009,1350,675,675
749,58069,"Nazzano",2010,1353,677,676
750,58069,"Nazzano",2011,1368,680,688
751,58070,"Nemi",2002,1722,846,876
752,58070,"Nemi",2003,1854,909,945
753,58070,"Nemi",2004,1892,928,964
754,58070,"Nemi",2005,1923,946,977
755,58070,"Nemi",2006,1922,935,987
756,58070,"Nemi",2007,1934,942,992
757,58070,"Nemi",2008,1950,939,1011
758,58070,"Nemi",2009,1978,958,1020
759,58070,"Nemi",2010,2005,978,1027
760,58070,"Nemi",2011,2026,988,1038
761,58071,"Nerola",2002,1407,674,733
762,58071,"Nerola",2003,1430,689,741
763,58071,"Nerola",2004,1448,706,742
764,58071,"Nerola",2005,1503,739,764
765,58071,"Nerola",2006,1579,780,799
766,58071,"Nerola",2007,1611,800,811
767,58071,"Nerola",2008,1654,821,833
768,58071,"Nerola",2009,1704,849,855
769,58071,"Nerola",2010,1748,870,878
770,58071,"Nerola",2011,1811,901,910
771,58072,"Nettuno",2002,36254,17456,18798
772,58072,"Nettuno",2003,36849,17719,19130
773,58072,"Nettuno",2004,39434,18919,20515
774,58072,"Nettuno",2005,40651,19574,21077
775,58072,"Nettuno",2006,41867,20099,21768
776,58072,"Nettuno",2007,42370,20286,22084
777,58072,"Nettuno",2008,43409,20791,22618
778,58072,"Nettuno",2009,44444,21254,23190
779,58072,"Nettuno",2010,46847,22409,24438
780,58072,"Nettuno",2011,47332,22661,24671
781,58073,"Olevano Romano",2002,6393,3155,3238
782,58073,"Olevano Romano",2003,6401,3168,3233
783,58073,"Olevano Romano",2004,6475,3232,3243
784,58073,"Olevano Romano",2005,6518,3254,3264
785,58073,"Olevano Romano",2006,6593,3277,3316
786,58073,"Olevano Romano",2007,6616,3280,3336
787,58073,"Olevano Romano",2008,6814,3387,3427
788,58073,"Olevano Romano",2009,6881,3421,3460
789,58073,"Olevano Romano",2010,6907,3440,3467
790,58073,"Olevano Romano",2011,6914,3430,3484
791,58074,"Palestrina",2002,17221,8447,8774
792,58074,"Palestrina",2003,17367,8505,8862
793,58074,"Palestrina",2004,17783,8710,9073
794,58074,"Palestrina",2005,18012,8832,9180
795,58074,"Palestrina",2006,18334,8992,9342
796,58074,"Palestrina",2007,18663,9115,9548
797,58074,"Palestrina",2008,19251,9424,9827
798,58074,"Palestrina",2009,20894,10394,10500
799,58074,"Palestrina",2010,21334,10634,10700
800,58074,"Palestrina",2011,21602,10740,10862
801,58075,"Palombara Sabina",2002,10698,5308,5390
802,58075,"Palombara Sabina",2003,10868,5405,5463
803,58075,"Palombara Sabina",2004,10971,5442,5529
804,58075,"Palombara Sabina",2005,11186,5554,5632
805,58075,"Palombara Sabina",2006,11482,5702,5780
806,58075,"Palombara Sabina",2007,11778,5859,5919
807,58075,"Palombara Sabina",2008,12189,6058,6131
808,58075,"Palombara Sabina",2009,12577,6262,6315
809,58075,"Palombara Sabina",2010,12814,6385,6429
810,58075,"Palombara Sabina",2011,12991,6485,6506
811,58076,"Percile",2002,215,109,106
812,58076,"Percile",2003,215,108,107
813,58076,"Percile",2004,218,113,105
814,58076,"Percile",2005,218,113,105
815,58076,"Percile",2006,217,111,106
816,58076,"Percile",2007,211,107,104
817,58076,"Percile",2008,222,109,113
818,58076,"Percile",2009,232,115,117
819,58076,"Percile",2010,232,117,115
820,58076,"Percile",2011,238,120,118
821,58077,"Pisoniano",2002,728,348,380
822,58077,"Pisoniano",2003,726,348,378
823,58077,"Pisoniano",2004,728,349,379
824,58077,"Pisoniano",2005,741,352,389
825,58077,"Pisoniano",2006,744,355,389
826,58077,"Pisoniano",2007,727,342,385
827,58077,"Pisoniano",2008,762,367,395
828,58077,"Pisoniano",2009,808,391,417
829,58077,"Pisoniano",2010,807,388,419
830,58077,"Pisoniano",2011,829,408,421
831,58078,"Poli",2002,2159,1043,1116
832,58078,"Poli",2003,2166,1048,1118
833,58078,"Poli",2004,2211,1075,1136
834,58078,"Poli",2005,2291,1107,1184
835,58078,"Poli",2006,2299,1116,1183
836,58078,"Poli",2007,2288,1104,1184
837,58078,"Poli",2008,2419,1173,1246
838,58078,"Poli",2009,2469,1206,1263
839,58078,"Poli",2010,2458,1209,1249
840,58078,"Poli",2011,2479,1219,1260
841,58079,"Pomezia",2002,43936,21644,22292
842,58079,"Pomezia",2003,43919,21654,22265
843,58079,"Pomezia",2004,45403,22364,23039
844,58079,"Pomezia",2005,46802,23068,23734
845,58079,"Pomezia",2006,48385,23854,24531
846,58079,"Pomezia",2007,52571,26052,26519
847,58079,"Pomezia",2008,56105,27912,28193
848,58079,"Pomezia",2009,58621,29228,29393
849,58079,"Pomezia",2010,60167,29986,30181
850,58079,"Pomezia",2011,61106,30396,30710
851,58080,"Ponzano Romano",2002,1036,536,500
852,58080,"Ponzano Romano",2003,1026,533,493
853,58080,"Ponzano Romano",2004,1084,576,508
854,58080,"Ponzano Romano",2005,1061,560,501
855,58080,"Ponzano Romano",2006,1062,552,510
856,58080,"Ponzano Romano",2007,1105,582,523
857,58080,"Ponzano Romano",2008,1163,619,544
858,58080,"Ponzano Romano",2009,1178,612,566
859,58080,"Ponzano Romano",2010,1161,600,561
860,58080,"Ponzano Romano",2011,1183,616,567
861,58081,"Riano",2002,6502,3253,3249
862,58081,"Riano",2003,6658,3326,3332
863,58081,"Riano",2004,6918,3470,3448
864,58081,"Riano",2005,7185,3581,3604
865,58081,"Riano",2006,7546,3770,3776
866,58081,"Riano",2007,7915,3949,3966
867,58081,"Riano",2008,8333,4161,4172
868,58081,"Riano",2009,9082,4564,4518
869,58081,"Riano",2010,9411,4709,4702
870,58081,"Riano",2011,9902,4960,4942
871,58082,"Rignano Flaminio",2002,6886,3384,3502
872,58082,"Rignano Flaminio",2003,7096,3470,3626
873,58082,"Rignano Flaminio",2004,7422,3647,3775
874,58082,"Rignano Flaminio",2005,7714,3780,3934
875,58082,"Rignano Flaminio",2006,7999,3913,4086
876,58082,"Rignano Flaminio",2007,8346,4090,4256
877,58082,"Rignano Flaminio",2008,8712,4278,4434
878,58082,"Rignano Flaminio",2009,9110,4474,4636
879,58082,"Rignano Flaminio",2010,9370,4597,4773
880,58082,"Rignano Flaminio",2011,9740,4790,4950
881,58083,"Riofreddo",2002,771,380,391
882,58083,"Riofreddo",2003,763,372,391
883,58083,"Riofreddo",2004,762,369,393
884,58083,"Riofreddo",2005,757,371,386
885,58083,"Riofreddo",2006,750,362,388
886,58083,"Riofreddo",2007,752,369,383
887,58083,"Riofreddo",2008,772,377,395
888,58083,"Riofreddo",2009,776,375,401
889,58083,"Riofreddo",2010,777,377,400
890,58083,"Riofreddo",2011,790,381,409
891,58084,"Rocca Canterano",2002,250,137,113
892,58084,"Rocca Canterano",2003,249,136,113
893,58084,"Rocca Canterano",2004,239,131,108
894,58084,"Rocca Canterano",2005,230,125,105
895,58084,"Rocca Canterano",2006,223,120,103
896,58084,"Rocca Canterano",2007,222,120,102
897,58084,"Rocca Canterano",2008,221,118,103
898,58084,"Rocca Canterano",2009,216,116,100
899,58084,"Rocca Canterano",2010,213,113,100
900,58084,"Rocca Canterano",2011,202,106,96
901,58085,"Rocca di Cave",2002,357,178,179
902,58085,"Rocca di Cave",2003,348,174,174
903,58085,"Rocca di Cave",2004,377,192,185
904,58085,"Rocca di Cave",2005,386,202,184
905,58085,"Rocca di Cave",2006,386,202,184
906,58085,"Rocca di Cave",2007,380,200,180
907,58085,"Rocca di Cave",2008,386,204,182
908,58085,"Rocca di Cave",2009,381,200,181
909,58085,"Rocca di Cave",2010,392,205,187
910,58085,"Rocca di Cave",2011,385,200,185
911,58086,"Rocca di Papa",2002,13179,6519,6660
912,58086,"Rocca di Papa",2003,13257,6522,6735
913,58086,"Rocca di Papa",2004,13665,6775,6890
914,58086,"Rocca di Papa",2005,13914,6899,7015
915,58086,"Rocca di Papa",2006,14204,7034,7170
916,58086,"Rocca di Papa",2007,14445,7126,7319
917,58086,"Rocca di Papa",2008,14859,7328,7531
918,58086,"Rocca di Papa",2009,15307,7589,7718
919,58086,"Rocca di Papa",2010,15772,7830,7942
920,58086,"Rocca di Papa",2011,16149,8034,8115
921,58088,"Rocca Priora",2002,10069,5019,5050
922,58088,"Rocca Priora",2003,10674,5346,5328
923,58088,"Rocca Priora",2004,10764,5379,5385
924,58088,"Rocca Priora",2005,10751,5397,5354
925,58088,"Rocca Priora",2006,10943,5504,5439
926,58088,"Rocca Priora",2007,11208,5649,5559
927,58088,"Rocca Priora",2008,11490,5817,5673
928,58088,"Rocca Priora",2009,11742,5928,5814
929,58088,"Rocca Priora",2010,11873,5987,5886
930,58088,"Rocca Priora",2011,11987,6001,5986
931,58089,"Rocca Santo Stefano",2002,1009,521,488
932,58089,"Rocca Santo Stefano",2003,997,514,483
933,58089,"Rocca Santo Stefano",2004,987,509,478
934,58089,"Rocca Santo Stefano",2005,983,496,487
935,58089,"Rocca Santo Stefano",2006,985,500,485
936,58089,"Rocca Santo Stefano",2007,995,506,489
937,58089,"Rocca Santo Stefano",2008,1014,524,490
938,58089,"Rocca Santo Stefano",2009,1042,540,502
939,58089,"Rocca Santo Stefano",2010,1040,541,499
940,58089,"Rocca Santo Stefano",2011,1040,539,501
941,58087,"Roccagiovine",2002,298,141,157
942,58087,"Roccagiovine",2003,296,142,154
943,58087,"Roccagiovine",2004,294,144,150
944,58087,"Roccagiovine",2005,301,150,151
945,58087,"Roccagiovine",2006,298,148,150
946,58087,"Roccagiovine",2007,297,148,149
947,58087,"Roccagiovine",2008,292,143,149
948,58087,"Roccagiovine",2009,295,144,151
949,58087,"Roccagiovine",2010,288,141,147
950,58087,"Roccagiovine",2011,290,140,150
951,58090,"Roiate",2002,804,386,418
952,58090,"Roiate",2003,800,387,413
953,58090,"Roiate",2004,788,387,401
954,58090,"Roiate",2005,781,383,398
955,58090,"Roiate",2006,792,387,405
956,58090,"Roiate",2007,777,380,397
957,58090,"Roiate",2008,776,381,395
958,58090,"Roiate",2009,779,382,397
959,58090,"Roiate",2010,769,376,393
960,58090,"Roiate",2011,770,379,391
961,58091,"Roma",2002,2545860,1198645,1347215
962,58091,"Roma",2003,2540829,1194818,1346011
963,58091,"Roma",2004,2542003,1192349,1349654
964,58091,"Roma",2005,2553873,1197120,1356753
965,58091,"Roma",2006,2547677,1192999,1354678
966,58091,"Roma",2007,2705603,1276295,1429308
967,58091,"Roma",2008,2718768,1281482,1437286
968,58091,"Roma",2009,2724347,1283145,1441202
969,58091,"Roma",2010,2743796,1292907,1450889
970,58091,"Roma",2011,2761477,1301763,1459714
971,58092,"Roviano",2002,1382,651,731
972,58092,"Roviano",2003,1366,639,727
973,58092,"Roviano",2004,1384,652,732
974,58092,"Roviano",2005,1379,650,729
975,58092,"Roviano",2006,1414,665,749
976,58092,"Roviano",2007,1421,672,749
977,58092,"Roviano",2008,1431,675,756
978,58092,"Roviano",2009,1445,676,769
979,58092,"Roviano",2010,1436,673,763
980,58092,"Roviano",2011,1429,675,754
981,58093,"Sacrofano",2002,5713,2791,2922
982,58093,"Sacrofano",2003,5858,2857,3001
983,58093,"Sacrofano",2004,6239,3054,3185
984,58093,"Sacrofano",2005,6446,3183,3263
985,58093,"Sacrofano",2006,6700,3303,3397
986,58093,"Sacrofano",2007,6760,3333,3427
987,58093,"Sacrofano",2008,6950,3423,3527
988,58093,"Sacrofano",2009,7288,3597,3691
989,58093,"Sacrofano",2010,7458,3700,3758
990,58093,"Sacrofano",2011,7508,3713,3795
991,58094,"Sambuci",2002,892,435,457
992,58094,"Sambuci",2003,891,439,452
993,58094,"Sambuci",2004,882,440,442
994,58094,"Sambuci",2005,882,438,444
995,58094,"Sambuci",2006,897,446,451
996,58094,"Sambuci",2007,912,454,458
997,58094,"Sambuci",2008,954,475,479
998,58094,"Sambuci",2009,958,479,479
999,58094,"Sambuci",2010,958,470,488
1000,58094,"Sambuci",2011,966,475,491
1001,58119,"San Cesareo",2002,9500,4769,4731
1002,58119,"San Cesareo",2003,9779,4919,4860
1003,58119,"San Cesareo",2004,10545,5300,5245
1004,58119,"San Cesareo",2005,11303,5711,5592
1005,58119,"San Cesareo",2006,11707,5926,5781
1006,58119,"San Cesareo",2007,11988,6077,5911
1007,58119,"San Cesareo",2008,12407,6276,6131
1008,58119,"San Cesareo",2009,13127,6635,6492
1009,58119,"San Cesareo",2010,13675,6884,6791
1010,58119,"San Cesareo",2011,14175,7092,7083
1011,58095,"San Gregorio da Sassola",2002,1442,700,742
1012,58095,"San Gregorio da Sassola",2003,1460,713,747
1013,58095,"San Gregorio da Sassola",2004,1449,706,743
1014,58095,"San Gregorio da Sassola",2005,1466,717,749
1015,58095,"San Gregorio da Sassola",2006,1498,732,766
1016,58095,"San Gregorio da Sassola",2007,1495,737,758
1017,58095,"San Gregorio da Sassola",2008,1527,761,766
1018,58095,"San Gregorio da Sassola",2009,1535,772,763
1019,58095,"San Gregorio da Sassola",2010,1554,774,780
1020,58095,"San Gregorio da Sassola",2011,1578,783,795
1021,58096,"San Polo dei Cavalieri",2002,2343,1190,1153
1022,58096,"San Polo dei Cavalieri",2003,2373,1199,1174
1023,58096,"San Polo dei Cavalieri",2004,2414,1210,1204
1024,58096,"San Polo dei Cavalieri",2005,2443,1225,1218
1025,58096,"San Polo dei Cavalieri",2006,2492,1255,1237
1026,58096,"San Polo dei Cavalieri",2007,2547,1273,1274
1027,58096,"San Polo dei Cavalieri",2008,2655,1330,1325
1028,58096,"San Polo dei Cavalieri",2009,2809,1409,1400
1029,58096,"San Polo dei Cavalieri",2010,2897,1451,1446
1030,58096,"San Polo dei Cavalieri",2011,2973,1489,1484
1031,58100,"San Vito Romano",2002,3276,1586,1690
1032,58100,"San Vito Romano",2003,3281,1592,1689
1033,58100,"San Vito Romano",2004,3282,1595,1687
1034,58100,"San Vito Romano",2005,3312,1606,1706
1035,58100,"San Vito Romano",2006,3346,1608,1738
1036,58100,"San Vito Romano",2007,3357,1621,1736
1037,58100,"San Vito Romano",2008,3469,1669,1800
1038,58100,"San Vito Romano",2009,3474,1672,1802
1039,58100,"San Vito Romano",2010,3456,1676,1780
1040,58100,"San Vito Romano",2011,3429,1669,1760
1041,58097,"Santa Marinella",2002,15032,7156,7876
1042,58097,"Santa Marinella",2003,15518,7365,8153
1043,58097,"Santa Marinella",2004,16376,7846,8530
1044,58097,"Santa Marinella",2005,16311,7838,8473
1045,58097,"Santa Marinella",2006,16727,8059,8668
1046,58097,"Santa Marinella",2007,16956,8189,8767
1047,58097,"Santa Marinella",2008,17354,8357,8997
1048,58097,"Santa Marinella",2009,17820,8613,9207
1049,58097,"Santa Marinella",2010,18088,8705,9383
1050,58097,"Santa Marinella",2011,18397,8856,9541
1051,58098,"Sant'Angelo Romano",2002,3111,1529,1582
1052,58098,"Sant'Angelo Romano",2003,3190,1553,1637
1053,58098,"Sant'Angelo Romano",2004,3345,1640,1705
1054,58098,"Sant'Angelo Romano",2005,3490,1705,1785
1055,58098,"Sant'Angelo Romano",2006,3639,1769,1870
1056,58098,"Sant'Angelo Romano",2007,3809,1854,1955
1057,58098,"Sant'Angelo Romano",2008,4103,2011,2092
1058,58098,"Sant'Angelo Romano",2009,4333,2133,2200
1059,58098,"Sant'Angelo Romano",2010,4542,2254,2288
1060,58098,"Sant'Angelo Romano",2011,4778,2362,2416
1061,58099,"Sant'Oreste",2002,3549,1726,1823
1062,58099,"Sant'Oreste",2003,3568,1741,1827
1063,58099,"Sant'Oreste",2004,3591,1754,1837
1064,58099,"Sant'Oreste",2005,3606,1767,1839
1065,58099,"Sant'Oreste",2006,3625,1764,1861
1066,58099,"Sant'Oreste",2007,3636,1777,1859
1067,58099,"Sant'Oreste",2008,3743,1836,1907
1068,58099,"Sant'Oreste",2009,3810,1880,1930
1069,58099,"Sant'Oreste",2010,3874,1911,1963
1070,58099,"Sant'Oreste",2011,3870,1895,1975
1071,58101,"Saracinesco",2002,176,100,76
1072,58101,"Saracinesco",2003,165,95,70
1073,58101,"Saracinesco",2004,172,99,73
1074,58101,"Saracinesco",2005,169,98,71
1075,58101,"Saracinesco",2006,164,97,67
1076,58101,"Saracinesco",2007,159,95,64
1077,58101,"Saracinesco",2008,169,99,70
1078,58101,"Saracinesco",2009,166,95,71
1079,58101,"Saracinesco",2010,165,95,70
1080,58101,"Saracinesco",2011,169,99,70
1081,58102,"Segni",2002,8798,4293,4505
1082,58102,"Segni",2003,8866,4323,4543
1083,58102,"Segni",2004,9035,4422,4613
1084,58102,"Segni",2005,9129,4493,4636
1085,58102,"Segni",2006,9207,4533,4674
1086,58102,"Segni",2007,9258,4564,4694
1087,58102,"Segni",2008,9332,4591,4741
1088,58102,"Segni",2009,9392,4628,4764
1089,58102,"Segni",2010,9392,4610,4782
1090,58102,"Segni",2011,9439,4627,4812
1091,58103,"Subiaco",2002,9035,4446,4589
1092,58103,"Subiaco",2003,9188,4529,4659
1093,58103,"Subiaco",2004,9179,4538,4641
1094,58103,"Subiaco",2005,9255,4585,4670
1095,58103,"Subiaco",2006,9296,4601,4695
1096,58103,"Subiaco",2007,9269,4570,4699
1097,58103,"Subiaco",2008,9321,4585,4736
1098,58103,"Subiaco",2009,9431,4647,4784
1099,58103,"Subiaco",2010,9391,4605,4786
1100,58103,"Subiaco",2011,9406,4605,4801
1101,58104,"Tivoli",2002,49260,23793,25467
1102,58104,"Tivoli",2003,49254,23743,25511
1103,58104,"Tivoli",2004,49768,23978,25790
1104,58104,"Tivoli",2005,50854,24522,26332
1105,58104,"Tivoli",2006,51309,24666,26643
1106,58104,"Tivoli",2007,51847,24983,26864
1107,58104,"Tivoli",2008,52853,25517,27336
1108,58104,"Tivoli",2009,55629,27021,28608
1109,58104,"Tivoli",2010,56275,27358,28917
1110,58104,"Tivoli",2011,56531,27430,29101
1111,58105,"Tolfa",2002,4937,2479,2458
1112,58105,"Tolfa",2003,4985,2504,2481
1113,58105,"Tolfa",2004,5064,2545,2519
1114,58105,"Tolfa",2005,5061,2542,2519
1115,58105,"Tolfa",2006,5072,2559,2513
1116,58105,"Tolfa",2007,5066,2559,2507
1117,58105,"Tolfa",2008,5168,2602,2566
1118,58105,"Tolfa",2009,5236,2633,2603
1119,58105,"Tolfa",2010,5258,2642,2616
1120,58105,"Tolfa",2011,5252,2636,2616
1121,58106,"Torrita Tiberina",2002,935,456,479
1122,58106,"Torrita Tiberina",2003,944,459,485
1123,58106,"Torrita Tiberina",2004,983,488,495
1124,58106,"Torrita Tiberina",2005,1010,503,507
1125,58106,"Torrita Tiberina",2006,1026,511,515
1126,58106,"Torrita Tiberina",2007,1026,517,509
1127,58106,"Torrita Tiberina",2008,1040,516,524
1128,58106,"Torrita Tiberina",2009,1059,517,542
1129,58106,"Torrita Tiberina",2010,1053,522,531
1130,58106,"Torrita Tiberina",2011,1076,531,545
1131,58107,"Trevignano Romano",2002,4610,2205,2405
1132,58107,"Trevignano Romano",2003,4787,2301,2486
1133,58107,"Trevignano Romano",2004,4923,2333,2590
1134,58107,"Trevignano Romano",2005,5078,2406,2672
1135,58107,"Trevignano Romano",2006,5310,2514,2796
1136,58107,"Trevignano Romano",2007,5363,2536,2827
1137,58107,"Trevignano Romano",2008,5701,2711,2990
1138,58107,"Trevignano Romano",2009,5862,2808,3054
1139,58107,"Trevignano Romano",2010,5897,2823,3074
1140,58107,"Trevignano Romano",2011,5949,2821,3128
1141,58108,"Vallepietra",2002,374,187,187
1142,58108,"Vallepietra",2003,372,187,185
1143,58108,"Vallepietra",2004,367,183,184
